Date,H_M_S,Hour,WeekDay,Mail,Name,Subject
2023-08-17,14:48:28,14h-15h,Thursday,no-reply@accounts.google.com,Google Accounts Team,Updating our Google Account inactivity policy
2023-08-17,15:02:59,15h-16h,Thursday,Coursera@email.coursera.org,Coursera Plus,JUST IN: Your Coursera Plus newsletter
2023-08-17,05:25:01,05h-06h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-16,23:32:32,23h-24h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Ericsson-Worldwide y 16 empleos 
2023-08-16,23:29:25,23h-24h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-16,11:26:21,11h-12h,Wednesday,Coursera@email.coursera.org,Coursera,Earn a certificate from a world-class university
2023-08-16,06:41:19,06h-07h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-15,23:50:50,23h-24h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Sr. en MOVIRO y 17 empleos 
2023-08-15,23:47:40,23h-24h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-15,03:34:00,03h-04h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-14,23:43:49,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en NetLogistiK y 18 empleos 
2023-08-14,23:40:34,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-14,16:58:35,16h-17h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-08-14,02:43:08,02h-03h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-13,23:21:59,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Ericsson-Worldwide y 19 empleos 
2023-08-13,23:19:19,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-12,23:21:21,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst // 
2023-08-12,23:17:14,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-12,05:46:09,05h-06h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-11,23:56:43,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Wood Mackenzie y 17 empleos 
2023-08-11,23:52:35,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-11,13:43:09,13h-14h,Friday,noreply@kaggle.com,Kaggle,Introducing Meta Kaggle for Code: A New Open Dataset for ML
2023-08-11,08:41:53,08h-09h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-11,01:00:03,01h-02h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,2 empleos a los que te postulaste 
2023-08-10,23:57:21,23h-24h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Atrato y 17 empleos 
2023-08-10,23:55:22,23h-24h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-10,15:13:05,15h-16h,Thursday,Coursera@email.coursera.org,Coursera,"According to employers, 60% of workers will need..."
2023-08-10,15:02:25,15h-16h,Thursday,Coursera@email.coursera.org,Coursera Plus,Ways to achieve your salary and promotion goals
2023-08-09,23:44:34,23h-24h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en CONSISS SA DE CV y 16 empleos 
2023-08-09,23:41:32,23h-24h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-09,08:27:33,08h-09h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-09,00:12:50,00h-01h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Junior en Belieff y 17 empleos 
2023-08-09,00:09:35,00h-01h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-07,23:31:33,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Sr en Groupe Rocher y 18 empleos 
2023-08-07,23:27:49,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-07,20:00:28,20h-21h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-08-07,07:47:40,07h-08h,Monday,noreply@kaggle.com,Kaggle,Competition Launch: RSNA 2023 Abdominal Trauma Detection
2023-08-07,07:03:17,07h-08h,Monday,Coursera@email.coursera.org,Coursera Plus,Recommended: Marketing Analytics Foundation
2023-08-07,06:26:21,06h-07h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-07,06:00:23,06h-07h,Monday,noreply@posit.cloud,posit.cloud,Your Posit Cloud compute hours limit has been reached
2023-08-06,23:20:26,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en INAVANT SA de CV y 19 empleos 
2023-08-06,23:17:41,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-06,07:33:26,07h-08h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-05,23:20:13,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,Data Science Analytics Analyst en Liverpool y 19 empleos
2023-08-05,23:16:15,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-05,07:07:41,07h-08h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-04,23:26:35,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-04,23:24:53,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,CONCUR Analyst en Taltere y 19 empleos 
2023-08-04,00:08:21,00h-01h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,Data Science Analytics Analyst en Liverpool y 18 empleos
2023-08-04,00:06:05,00h-01h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-03,15:01:20,15h-16h,Thursday,Coursera@email.coursera.org,Coursera Plus,New edition! Learning Plus: your Coursera Plus newsletter
2023-08-03,13:55:37,13h-14h,Thursday,noreply@kaggle.com,Kaggle,[New] Introducing the Kaggle Competitions Research Grants Program 
2023-08-03,17:03:41,17h-18h,Thursday,ivan@mail.notion.so,Ivan Zhao,Notion 2.32
2023-08-03,09:06:11,09h-10h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-03,04:05:15,04h-05h,Thursday,member@surveymonkeyuser.com,opuralena@coursera.org via SurveyMonkey,Invitation: Paid Coursera study
2023-08-03,00:55:08,00h-01h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Solicitamos y 18 empleos 
2023-08-03,00:53:04,00h-01h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-02,13:08:32,13h-14h,Wednesday,noreply@kaggle.com,Kaggle,"[Starter Notebook] < 3 weeks left to join Google's American Sign
 Language Fingerspelling Recognition Competition"
2023-08-02,11:21:11,11h-12h,Wednesday,Coursera@email.coursera.org,Coursera,Grow your career with job-ready learning
2023-08-02,07:51:54,07h-08h,Wednesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,Samekj: We’ve turned off your job alert for data analyst in Europe
2023-08-02,07:51:55,07h-08h,Wednesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,Samekj: We’ve turned off your job alert for data scientist in Europe
2023-08-02,07:51:54,07h-08h,Wednesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,Samekj: We’ve turned off your job alert for data scientist in United States
2023-08-02,07:51:54,07h-08h,Wednesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,Samekj: We’ve turned off your job alert for data analyst in United States
2023-08-02,02:31:28,02h-03h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-08-02,02:03:04,02h-03h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,Data Science Analytics Analyst en Liverpool y 16 empleos
2023-08-02,01:59:41,01h-02h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-08-02,00:02:16,00h-01h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,2 empleos a los que te postulaste 
2023-08-01,20:47:00,20h-21h,Tuesday,envios@estadosdecuentatotalplay.com.mx,Totalplay,Estados de Cuenta Totalplay
2023-08-01,14:03:29,14h-15h,Tuesday,info@bethematch.org.mx,Be The Match® México,"ER SAMEKJ, ¡Súmate como voluntario!"
2023-08-01,09:13:38,09h-10h,Tuesday,linkedin@e.linkedin.com,LinkedIn,"Samekj, land your next job on LinkedIn."
2023-08-01,12:20:36,12h-13h,Tuesday,pia@soyhenry.com,Pia Cadena,¡Queremos conocerte mejor! ¿Tenés 5 minutos?💛
2023-08-01,02:28:36,02h-03h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-07-31,23:17:21,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en MioDottore y 18 empleos 
2023-07-31,23:14:31,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-31,19:55:51,19h-20h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-07-31,07:17:12,07h-08h,Monday,Coursera@email.coursera.org,Coursera Plus,Trending this week at Coursera
2023-07-31,01:02:12,01h-02h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-07-30,23:27:45,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en MioDottore y 16 empleos 
2023-07-30,23:24:54,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-30,01:35:56,01h-02h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-07-29,23:21:13,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en MioDottore y 15 empleos 
2023-07-29,23:17:33,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-29,10:00:25,10h-11h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,Postúlate
2023-07-28,23:26:15,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-28,23:25:27,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Ericsson-Worldwide y 17 empleos 
2023-07-28,11:12:12,11h-12h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-07-27,23:18:49,23h-24h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Senior en Duccio Marketing y 18 empleos
2023-07-27,23:16:02,23h-24h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-27,15:03:46,15h-16h,Thursday,Coursera@email.coursera.org,Coursera Plus,Something special for Coursera Plus learners
2023-07-27,08:17:33,08h-09h,Thursday,linkedin@e.linkedin.com,LinkedIn,"Samekj, find your next job."
2023-07-27,10:29:18,10h-11h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-07-26,23:21:36,23h-24h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Senior en Duccio Marketing y 16 empleos
2023-07-26,23:18:40,23h-24h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-26,15:49:49,15h-16h,Wednesday,Coursera@email.coursera.org,Coursera,"Choose from affordable, flexible learning programs"
2023-07-26,10:17:28,10h-11h,Wednesday,noreply@kaggle.com,Kaggle,[New Awards] $100K+ to Support High-Quality Solution Write-Ups Authors
2023-07-26,01:51:55,01h-02h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,¿Cómo va tu búsqueda
2023-07-26,01:36:58,01h-02h,Wednesday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-07-25,23:51:23,23h-24h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,¿Cómo va tu búsqueda
2023-07-25,23:30:11,23h-24h,Tuesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,"Samekj: Still want your job alert for data analyst in United
 States?"
2023-07-25,23:30:11,23h-24h,Tuesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,"Samekj: Still want your job alert for data scientist in United
 States?"
2023-07-25,23:30:11,23h-24h,Tuesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,Samekj: Still want your job alert for data scientist in Europe?
2023-07-25,23:30:11,23h-24h,Tuesday,jobalerts-noreply@linkedin.com,LinkedIn Job Alerts,Samekj: Still want your job alert for data analyst in Europe?
2023-07-25,23:20:02,23h-24h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en NetLogistiK y 16 empleos 
2023-07-25,23:17:13,23h-24h,Tuesday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-24,23:36:01,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en MioDottore y 17 empleos 
2023-07-24,23:33:24,23h-24h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-24,16:45:46,16h-17h,Monday,alumnos@soyhenry.com,,¿Sigues en Henry? Checkpoint desaprobado ausente Proyecto Individual - DataFT12
2023-07-24,17:00:20,17h-18h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
2023-07-24,07:22:31,07h-08h,Monday,Coursera@email.coursera.org,Coursera Plus,Trending this week at Coursera
2023-07-24,03:19:26,03h-04h,Monday,noreply@glassdoor.com,Empleos de Glassdoor,¡Serías
2023-07-23,23:19:31,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en NetLogistiK y 17 empleos 
2023-07-23,23:15:52,23h-24h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-23,07:00:10,07h-08h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,Postúlate
2023-07-23,03:00:13,03h-04h,Sunday,noreply@glassdoor.com,Empleos de Glassdoor,2 empleos a los que te postulaste 
2023-07-22,23:19:16,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en MioDottore y 19 empleos 
2023-07-22,23:15:33,23h-24h,Saturday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-22,11:06:21,11h-12h,Saturday,linkedin@e.linkedin.com,LinkedIn Sales Solution,"Samekj, thanks for checking us out"
2023-07-21,23:35:17,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst Sr/ 
2023-07-21,23:31:13,23h-24h,Friday,noreply@glassdoor.com,Empleos de Glassdoor,"Nuevos empleos en Mexico Beach, FL. "
2023-07-20,14:27:33,14h-15h,Thursday,Coursera@email.coursera.org,Coursera,The Microsoft Cybersecurity Certificate has arrived
2023-07-20,16:31:52,16h-17h,Thursday,noreply@glassdoor.com,Glassdoor,"Tala,Tala,Tala: postularse ahora"
2023-07-20,16:22:42,16h-17h,Thursday,noreply@glassdoor.com,Empleos de Glassdoor,Data Analyst en Infinita Consulting y 17 empleos 
2023-07-20,16:14:08,16h-17h,Thursday,noreply@glassdoor.com,Glassdoor Jobs,"CNA Energy Analyst / Data Analyst at Peerless Technologies and 3 more
 jobs in Mexico Beach, FL for you. Apply Now."
2023-07-19,11:28:22,11h-12h,Wednesday,linkedin@e.linkedin.com,LinkedIn,"Samekj, thanks for being a valued member"
2023-07-19,13:20:32,13h-14h,Wednesday,noreply@kaggle.com,Kaggle,Competition Launch: Bengali.AI Speech Recognition
2023-07-19,04:15:54,04h-05h,Wednesday,linkedin@e.linkedin.com,LinkedIn,"Want to work at Qendar, Marketing Humano para una Sociedad Mejor?"
2023-07-18,18:17:55,18h-19h,Tuesday,annie.phan@datastax.com,Annie Phan,Vector Search Now GA in Astra DB Across All Clouds
2023-07-18,13:08:45,13h-14h,Tuesday,alumnos@soyhenry.com,Alumnos Henry,Cambios en nuestra política de privacidad
2023-07-17,16:03:59,16h-17h,Monday,info@meetup.com,Meetup,Top suggestions for you this week
